INFO  - 2013-12-29 16:20:08.255; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/data/index
INFO  - 2013-12-29 16:20:08.259; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/Users/childbamboo1980/git/samples/solr/example/solr-webapp/webapp/},/Users/childbamboo1980/git/samples/solr/example/webapps/solr.war
INFO  - 2013-12-29 16:20:58.190; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-12-29 16:20:58.223; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/childbamboo1980/git/samples/solr/example/contexts at interval 0
INFO  - 2013-12-29 16:20:58.230; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/childbamboo1980/git/samples/solr/example/contexts/solr-jetty-context.xml
INFO  - 2013-12-29 16:21:00.557; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-12-29 16:21:00.645; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-12-29 16:21:00.665; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-12-29 16:21:00.666; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-12-29 16:21:00.667; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-12-29 16:21:00.838; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/childbamboo1980/git/samples/solr/example/solr/solr.xml
INFO  - 2013-12-29 16:21:01.022; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2013-12-29 16:21:01.097; org.apache.solr.core.CoreContainer; New CoreContainer 208924888
INFO  - 2013-12-29 16:21:01.102; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2013-12-29 16:21:01.141; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-12-29 16:21:01.143; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-12-29 16:21:01.143; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-12-29 16:21:01.156; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-12-29 16:21:01.160; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-12-29 16:21:01.163; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-12-29 16:21:01.164; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-12-29 16:21:01.164; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-12-29 16:21:01.165; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-12-29 16:21:01.504; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2013-12-29 16:21:01.506; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2013-12-29 16:21:01.553; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/childbamboo1980/git/samples/solr/example/solr
INFO  - 2013-12-29 16:21:01.576; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/childbamboo1980/git/samples/solr/example/solr/collection1/
INFO  - 2013-12-29 16:21:01.576; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2013-12-29 16:21:01.579; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /Users/childbamboo1980/git/samples/solr/example/solr/collection1
INFO  - 2013-12-29 16:21:01.580; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/childbamboo1980/git/samples/solr/example/solr/collection1/'
INFO  - 2013-12-29 16:21:01.753; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
